Latitude (decimal degrees):	49.418
Longitude (decimal degrees):	2.826
Elevation (m):	43
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,14.72,7.52,0.0
20230101:0110,0.0,0.0,0.0,14.59,7.17,0.0
20230101:0210,0.0,0.0,0.0,14.47,7.03,0.0
20230101:0310,0.0,0.0,0.0,14.5,6.69,0.0
20230101:0410,0.0,0.0,0.0,14.21,6.07,0.0
20230101:0510,0.0,0.0,0.0,13.75,5.52,0.0
20230101:0610,0.0,0.0,0.0,13.2,5.1,0.0
20230101:0710,0.0,0.0,0.0,12.59,5.45,0.0
20230101:0810,8.28,21.01,2.52,12.48,5.38,0.0
20230101:0910,56.75,82.55,9.19,12.46,5.03,0.0
20230101:1010,61.15,88.06,14.15,12.49,4.9,0.0
20230101:1110,35.99,57.95,16.99,12.63,4.69,0.0
20230101:1210,59.08,85.91,17.45,12.66,4.28,0.0
20230101:1310,48.03,72.67,15.48,12.25,3.31,0.0
20230101:1410,10.33,23.92,11.27,11.93,2.83,0.0
20230101:1510,3.93,13.8,5.19,11.87,2.83,0.0
20230101:1610,0.0,0.0,0.0,11.6,2.97,0.0
20230101:1710,0.0,0.0,0.0,11.47,3.38,0.0
20230101:1810,0.0,0.0,0.0,11.41,3.52,0.0
20230101:1910,0.0,0.0,0.0,12.47,5.03,0.0
20230101:2010,0.0,0.0,0.0,13.12,5.38,0.0
20230101:2110,0.0,0.0,0.0,13.5,5.38,0.0
20230101:2210,0.0,0.0,0.0,13.72,5.59,0.0
20230101:2310,0.0,0.0,0.0,13.79,6.07,0.0
20230102:0010,0.0,0.0,0.0,13.66,6.07,0.0
20230102:0110,0.0,0.0,0.0,13.31,5.72,0.0
20230102:0210,0.0,0.0,0.0,12.95,5.45,0.0
20230102:0310,0.0,0.0,0.0,12.33,5.24,0.0
20230102:0410,0.0,0.0,0.0,12.01,4.69,0.0
20230102:0510,0.0,0.0,0.0,11.77,4.21,0.0
20230102:0610,0.0,0.0,0.0,11.38,4.0,0.0
20230102:0710,0.0,0.0,0.0,10.17,3.03,0.0
20230102:0810,0.0,1.84,2.53,9.88,2.69,0.0
20230102:0910,17.72,34.04,9.23,9.86,2.76,0.0
20230102:1010,17.02,33.12,14.2,10.1,3.59,0.0
20230102:1110,70.68,98.47,17.07,10.09,4.69,0.0
20230102:1210,62.13,88.67,17.54,10.2,4.07,0.0
20230102:1310,164.72,203.78,15.59,10.54,4.62,0.0
20230102:1410,168.9,208.78,11.39,10.75,4.07,0.0
20230102:1510,177.25,221.88,5.32,10.28,3.59,0.0
20230102:1610,0.0,0.0,0.0,9.27,3.17,0.0
20230102:1710,0.0,0.0,0.0,8.4,2.97,0.0
20230102:1810,0.0,0.0,0.0,7.62,2.76,0.0
20230102:1910,0.0,0.0,0.0,6.87,2.55,0.0
20230102:2010,0.0,0.0,0.0,6.52,2.48,0.0
20230102:2110,0.0,0.0,0.0,5.96,2.41,0.0
20230102:2210,0.0,0.0,0.0,5.59,2.41,0.0
20230102:2310,0.0,0.0,0.0,5.36,2.55,0.0
20230103:0010,0.0,0.0,0.0,5.38,2.83,0.0
20230103:0110,0.0,0.0,0.0,5.38,3.1,0.0
20230103:0210,0.0,0.0,0.0,5.42,3.24,0.0
20230103:0310,0.0,0.0,0.0,5.45,3.31,0.0
20230103:0410,0.0,0.0,0.0,5.36,3.31,0.0
20230103:0510,0.0,0.0,0.0,5.17,3.31,0.0
20230103:0610,0.0,0.0,0.0,4.96,3.38,0.0
20230103:0710,0.0,0.0,0.0,5.3,3.52,0.0
20230103:0810,25.86,44.31,2.56,5.26,3.45,0.0
20230103:0910,16.02,31.28,9.27,5.91,3.59,0.0
20230103:1010,71.55,98.16,14.26,7.08,3.52,0.0
20230103:1110,109.26,141.23,17.15,8.63,4.76,0.0
20230103:1210,111.41,144.23,17.64,9.61,5.03,0.0
20230103:1310,192.29,233.95,15.7,10.31,5.03,0.0
20230103:1410,262.5,312.98,11.52,10.48,4.55,0.0
20230103:1510,32.09,52.65,5.45,10.1,4.62,0.0
20230103:1610,0.0,0.0,0.0,9.63,4.76,0.0
20230103:1710,0.0,0.0,0.0,9.51,4.9,0.0
20230103:1810,0.0,0.0,0.0,9.44,5.24,0.0
20230103:1910,0.0,0.0,0.0,9.39,5.93,0.0
20230103:2010,0.0,0.0,0.0,9.5,6.28,0.0
20230103:2110,0.0,0.0,0.0,9.55,6.69,0.0
20230103:2210,0.0,0.0,0.0,9.21,6.83,0.0
20230103:2310,0.0,0.0,0.0,9.2,7.03,0.0
20230104:0010,0.0,0.0,0.0,9.23,7.1,0.0
20230104:0110,0.0,0.0,0.0,9.24,6.97,0.0
20230104:0210,0.0,0.0,0.0,9.38,6.76,0.0
20230104:0310,0.0,0.0,0.0,9.64,6.62,0.0
20230104:0410,0.0,0.0,0.0,10.01,6.69,0.0
20230104:0510,0.0,0.0,0.0,10.34,6.69,0.0
20230104:0610,0.0,0.0,0.0,10.61,6.62,0.0
20230104:0710,0.0,0.0,0.0,11.1,6.9,0.0
20230104:0810,0.0,5.52,2.59,11.32,6.97,0.0
20230104:0910,16.24,32.2,9.31,11.53,7.1,0.0
20230104:1010,13.56,28.52,14.33,11.78,7.24,0.0
20230104:1110,39.12,61.63,17.23,12.06,7.24,0.0
20230104:1210,20.95,38.64,17.75,12.3,7.24,0.0
20230104:1310,36.06,57.95,15.82,12.45,7.1,0.0
20230104:1410,25.14,44.15,11.65,12.54,6.83,0.0
20230104:1510,5.55,16.56,5.59,12.61,6.76,0.0
20230104:1610,0.0,0.0,0.0,12.66,6.14,0.0
20230104:1710,0.0,0.0,0.0,12.68,6.0,0.0
20230104:1810,0.0,0.0,0.0,12.64,5.66,0.0
20230104:1910,0.0,0.0,0.0,12.5,6.28,0.0
20230104:2010,0.0,0.0,0.0,12.45,6.14,0.0
20230104:2110,0.0,0.0,0.0,12.41,6.07,0.0
20230104:2210,0.0,0.0,0.0,12.26,5.79,0.0
20230104:2310,0.0,0.0,0.0,12.15,5.38,0.0
20230105:0010,0.0,0.0,0.0,11.85,5.17,0.0
20230105:0110,0.0,0.0,0.0,11.2,5.1,0.0
20230105:0210,0.0,0.0,0.0,10.55,5.1,0.0
20230105:0310,0.0,0.0,0.0,10.2,5.03,0.0
20230105:0410,0.0,0.0,0.0,10.16,4.76,0.0
20230105:0510,0.0,0.0,0.0,10.26,4.55,0.0
20230105:0610,0.0,0.0,0.0,10.33,4.28,0.0
20230105:0710,0.0,0.0,0.0,10.73,4.07,0.0
20230105:0810,0.67,7.36,2.63,10.81,3.72,0.0
20230105:0910,15.59,31.28,9.37,11.0,3.24,0.0
20230105:1010,109.47,143.18,14.4,11.52,2.69,0.0
20230105:1110,92.49,124.41,17.33,11.91,3.1,0.0
20230105:1210,74.43,103.77,17.86,12.17,4.07,0.0
20230105:1310,82.64,113.13,15.95,12.22,3.72,0.0
20230105:1410,15.47,31.28,11.79,12.49,4.55,0.0
20230105:1510,53.01,78.78,5.73,12.28,3.93,0.0
20230105:1610,0.0,0.0,0.0,12.03,3.59,0.0
20230105:1710,0.0,0.0,0.0,11.76,3.31,0.0
20230105:1810,0.0,0.0,0.0,11.54,3.45,0.0
20230105:1910,0.0,0.0,0.0,11.13,3.66,0.0
20230105:2010,0.0,0.0,0.0,10.56,3.86,0.0
20230105:2110,0.0,0.0,0.0,10.12,4.07,0.0
20230105:2210,0.0,0.0,0.0,9.79,4.14,0.0
20230105:2310,0.0,0.0,0.0,9.35,4.14,0.0
20230106:0010,0.0,0.0,0.0,9.36,4.34,0.0
20230106:0110,0.0,0.0,0.0,9.09,4.34,0.0
20230106:0210,0.0,0.0,0.0,9.11,4.41,0.0
20230106:0310,0.0,0.0,0.0,9.28,4.55,0.0
20230106:0410,0.0,0.0,0.0,9.07,4.62,0.0
20230106:0510,0.0,0.0,0.0,9.25,4.76,0.0
20230106:0610,0.0,0.0,0.0,9.22,4.76,0.0
20230106:0710,0.0,0.0,0.0,9.88,5.03,0.0
20230106:0810,24.94,43.88,2.67,9.86,5.1,0.0
20230106:0910,194.38,236.07,9.43,10.12,5.03,0.0
20230106:1010,95.26,126.41,14.49,10.56,4.28,0.0
20230106:1110,40.8,63.47,17.43,11.0,5.03,0.0
20230106:1210,48.98,73.59,17.98,11.8,5.38,0.0
20230106:1310,37.55,59.79,16.09,12.19,4.34,0.0
20230106:1410,20.23,37.72,11.93,12.44,4.9,0.0
20230106:1510,17.52,34.08,5.88,12.39,4.48,0.0
20230106:1610,0.0,0.0,0.0,12.15,4.41,0.0
20230106:1710,0.0,0.0,0.0,11.69,4.28,0.0
20230106:1810,0.0,0.0,0.0,11.38,4.34,0.0
20230106:1910,0.0,0.0,0.0,10.63,4.34,0.0
20230106:2010,0.0,0.0,0.0,10.48,4.41,0.0
20230106:2110,0.0,0.0,0.0,10.26,4.41,0.0
20230106:2210,0.0,0.0,0.0,10.19,4.34,0.0
20230106:2310,0.0,0.0,0.0,9.93,4.28,0.0
20230107:0010,0.0,0.0,0.0,9.36,4.28,0.0
20230107:0110,0.0,0.0,0.0,9.01,4.41,0.0
20230107:0210,0.0,0.0,0.0,8.58,4.41,0.0
20230107:0310,0.0,0.0,0.0,8.29,4.34,0.0
20230107:0410,0.0,0.0,0.0,8.03,4.28,0.0
20230107:0510,0.0,0.0,0.0,7.57,4.28,0.0
20230107:0610,0.0,0.0,0.0,7.13,4.41,0.0
20230107:0710,0.0,0.0,0.0,7.5,4.62,0.0
20230107:0810,17.12,33.13,2.72,7.06,4.69,0.0
20230107:0910,234.5,277.39,9.5,7.33,5.03,0.0
20230107:1010,416.89,482.31,14.58,8.18,4.9,0.0
20230107:1110,542.1,628.54,17.54,9.24,5.72,0.0
20230107:1210,129.05,164.01,18.11,10.14,6.21,0.0
20230107:1310,105.61,137.9,16.23,10.36,5.86,0.0
20230107:1410,27.55,46.91,12.08,10.58,5.45,0.0
20230107:1510,23.14,41.31,6.04,10.83,6.48,0.0
20230107:1610,0.0,0.0,0.0,10.78,6.34,0.0
20230107:1710,0.0,0.0,0.0,10.38,6.34,0.0
20230107:1810,0.0,0.0,0.0,10.09,6.48,0.0
20230107:1910,0.0,0.0,0.0,10.09,6.83,0.0
20230107:2010,0.0,0.0,0.0,10.24,6.69,0.0
20230107:2110,0.0,0.0,0.0,10.32,6.21,0.0
20230107:2210,0.0,0.0,0.0,10.21,5.93,0.0
20230107:2310,0.0,0.0,0.0,9.88,5.72,0.0
20230108:0010,0.0,0.0,0.0,9.64,5.38,0.0
20230108:0110,0.0,0.0,0.0,9.34,4.97,0.0
20230108:0210,0.0,0.0,0.0,9.0,4.76,0.0
20230108:0310,0.0,0.0,0.0,8.84,5.24,0.0
20230108:0410,0.0,0.0,0.0,8.46,5.52,0.0
20230108:0510,0.0,0.0,0.0,8.46,6.0,0.0
20230108:0610,0.0,0.0,0.0,8.29,5.72,0.0
20230108:0710,0.0,0.0,0.0,8.32,5.59,0.0
20230108:0810,73.25,102.02,2.78,8.1,5.03,0.0
20230108:0910,375.64,436.78,9.58,7.97,4.83,0.0
20230108:1010,490.73,567.84,14.67,8.19,4.83,0.0
20230108:1110,600.11,693.64,17.66,9.26,6.9,0.0
20230108:1210,543.17,631.71,18.25,9.96,5.86,0.0
20230108:1310,508.99,591.75,16.38,10.0,5.79,0.0
20230108:1410,266.23,315.59,12.24,10.15,5.93,0.0
20230108:1510,131.24,167.39,6.2,9.7,7.79,0.0
20230108:1610,0.0,0.0,0.0,9.37,6.41,0.0
20230108:1710,0.0,0.0,0.0,8.86,5.79,0.0
20230108:1810,0.0,0.0,0.0,8.56,5.66,0.0
20230108:1910,0.0,0.0,0.0,8.4,5.79,0.0
20230108:2010,0.0,0.0,0.0,8.08,5.45,0.0
20230108:2110,0.0,0.0,0.0,7.79,5.31,0.0
20230108:2210,0.0,0.0,0.0,7.35,4.69,0.0
20230108:2310,0.0,0.0,0.0,6.6,4.83,0.0
20230109:0010,0.0,0.0,0.0,5.97,5.17,0.0
20230109:0110,0.0,0.0,0.0,5.79,5.86,0.0
20230109:0210,0.0,0.0,0.0,5.96,6.34,0.0
20230109:0310,0.0,0.0,0.0,6.33,6.55,0.0
20230109:0410,0.0,0.0,0.0,6.43,6.48,0.0
20230109:0510,0.0,0.0,0.0,6.67,6.34,0.0
20230109:0610,0.0,0.0,0.0,6.81,6.28,0.0
20230109:0710,0.0,0.0,0.0,6.89,6.28,0.0
20230109:0810,0.0,5.52,2.85,6.74,6.28,0.0
20230109:0910,220.89,261.07,9.66,6.7,6.48,0.0
20230109:1010,67.44,93.2,14.78,6.67,6.41,0.0
20230109:1110,196.43,235.15,17.78,7.07,5.93,0.0
20230109:1210,241.39,284.32,18.39,7.36,6.28,0.0
20230109:1310,109.1,140.25,16.53,7.71,6.48,0.0
20230109:1410,50.77,74.35,12.4,7.76,5.93,0.0
20230109:1510,55.26,79.67,6.36,7.31,6.21,0.0
20230109:1610,0.0,0.0,0.0,7.03,5.93,0.0
20230109:1710,0.0,0.0,0.0,6.67,5.59,0.0
20230109:1810,0.0,0.0,0.0,5.84,5.52,0.0
20230109:1910,0.0,0.0,0.0,5.58,5.03,0.0
20230109:2010,0.0,0.0,0.0,5.4,4.55,0.0
20230109:2110,0.0,0.0,0.0,4.95,4.21,0.0
